index,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
117,I,0.34,0.25,0.075,0.1785,0.0665,0.0455,0.045,5
118,M,0.45,0.325,0.115,0.4305,0.2235,0.0785,0.1155,8
119,I,0.28,0.21,0.085,0.1075,0.0415,0.024,0.034,5
120,M,0.555,0.425,0.15,0.873,0.4625,0.1845,0.1965,9
121,I,0.39,0.29,0.09,0.2745,0.135,0.0455,0.078,8
122,M,0.455,0.365,0.095,0.514,0.2245,0.101,0.15,15
123,M,0.58,0.445,0.135,0.814,0.3775,0.1915,0.22,9
124,M,0.58,0.455,0.15,1.114,0.4765,0.2155,0.265,8
125,I,0.315,0.235,0.07,0.149,0.058,0.0325,0.047,7
126,M,0.565,0.45,0.14,1.0055,0.3785,0.244,0.265,12
127,F,0.425,0.33,0.115,0.406,0.1635,0.081,0.1355,8
128,I,0.375,0.285,0.08,0.226,0.0975,0.04,0.0725,7
129,M,0.74,0.535,0.185,1.65,0.734,0.4505,0.335,13
130,F,0.66,0.515,0.17,1.337,0.615,0.3125,0.3575,10
131,I,0.385,0.28,0.125,0.244,0.102,0.038,0.085,6
132,M,0.59,0.47,0.135,1.1685,0.539,0.279,0.28,8
133,M,0.57,0.435,0.17,0.873,0.382,0.183,0.2705,10
134,I,0.405,0.285,0.09,0.2645,0.1265,0.0505,0.075,6
135,F,0.605,0.495,0.17,1.2385,0.528,0.2465,0.39,14
136,M,0.385,0.275,0.115,0.2685,0.0975,0.0825,0.085,8
137,M,0.555,0.435,0.14,0.7495,0.341,0.1645,0.214,8
138,I,0.475,0.365,0.115,0.499,0.232,0.0885,0.156,10
139,M,0.59,0.45,0.12,0.7485,0.3345,0.1315,0.22,14
140,M,0.59,0.46,0.155,0.906,0.327,0.1485,0.335,15
141,M,0.655,0.525,0.16,1.46,0.686,0.311,0.405,11
142,M,0.365,0.295,0.08,0.2555,0.097,0.043,0.1,7
143,F,0.645,0.5,0.15,1.159,0.4675,0.3355,0.31,9
144,F,0.575,0.46,0.185,1.094,0.4485,0.217,0.345,15
145,I,0.435,0.315,0.11,0.3685,0.1615,0.0715,0.12,7
146,M,0.36,0.295,0.105,0.241,0.0865,0.053,0.095,8
147,F,0.55,0.445,0.155,0.9905,0.544,0.178,0.218,9
148,I,0.43,0.34,0.0,0.428,0.2065,0.086,0.115,8
149,F,0.605,0.495,0.17,1.0915,0.4365,0.2715,0.335,13
150,F,0.525,0.44,0.125,0.7115,0.3205,0.159,0.1915,7
151,I,0.45,0.35,0.135,0.494,0.2205,0.0945,0.1405,7
152,F,0.51,0.37,0.21,1.183,0.508,0.292,0.343,9
153,M,0.485,0.41,0.15,0.696,0.2405,0.1625,0.265,13
154,M,0.625,0.49,0.165,1.1165,0.4895,0.2615,0.3325,11
155,I,0.365,0.27,0.075,0.2215,0.095,0.0445,0.07,6
156,M,0.41,0.3,0.1,0.301,0.124,0.069,0.09,9
157,I,0.595,0.43,0.165,0.9845,0.4525,0.207,0.2725,8
158,F,0.475,0.36,0.12,0.5915,0.3245,0.11,0.127,6
159,F,0.545,0.445,0.175,0.8525,0.3465,0.189,0.295,13
160,M,0.56,0.45,0.145,0.894,0.3885,0.2095,0.264,9
161,M,0.53,0.415,0.13,0.8425,0.275,0.1945,0.265,20
162,F,0.61,0.49,0.17,1.1775,0.5655,0.2385,0.295,15
163,I,0.605,0.435,0.13,0.9025,0.432,0.174,0.26,11
164,F,0.485,0.395,0.16,0.66,0.2475,0.128,0.235,14
165,M,0.59,0.485,0.155,1.0785,0.4535,0.2435,0.31,9
166,M,0.705,0.56,0.165,1.675,0.797,0.4095,0.388,10
167,M,0.585,0.455,0.125,1.027,0.391,0.212,0.25,17
168,M,0.585,0.46,0.185,0.922,0.3635,0.213,0.285,10
169,I,0.295,0.23,0.08,0.1625,0.065,0.05,0.0385,5
170,F,0.71,0.5,0.15,1.3165,0.6835,0.2815,0.28,10
171,I,0.44,0.35,0.11,0.3805,0.1575,0.0895,0.115,6
172,I,0.445,0.33,0.1,0.437,0.163,0.0755,0.17,13
173,F,0.665,0.515,0.18,1.389,0.5945,0.324,0.395,10
174,M,0.71,0.57,0.195,1.348,0.8985,0.4435,0.4535,11
175,F,0.625,0.47,0.145,0.984,0.475,0.2,0.265,11
176,F,0.58,0.435,0.14,0.953,0.475,0.2165,0.2095,9
177,I,0.42,0.325,0.115,0.314,0.1295,0.0635,0.1,8
178,M,0.455,0.35,0.105,0.416,0.1625,0.097,0.145,11
179,F,0.39,0.3,0.1,0.265,0.1075,0.06,0.0865,13
180,F,0.455,0.35,0.14,0.5185,0.221,0.1265,0.135,10
181,M,0.515,0.41,0.14,0.7355,0.3065,0.137,0.2,7
182,I,0.415,0.325,0.1,0.3215,0.1535,0.0595,0.105,10
183,M,0.66,0.505,0.19,1.4385,0.6775,0.285,0.178,11
184,I,0.36,0.275,0.11,0.2335,0.095,0.0525,0.085,10
185,F,0.655,0.51,0.175,1.6525,0.8515,0.3365,0.403,10
186,F,0.64,0.51,0.165,1.486,0.7595,0.332,0.321,8
187,F,0.64,0.5,0.17,1.2645,0.565,0.3375,0.315,9
188,M,0.455,0.35,0.12,0.4835,0.1815,0.144,0.16,11
189,I,0.505,0.405,0.13,0.6015,0.3015,0.11,0.18,8
190,I,0.29,0.215,0.065,0.0985,0.0425,0.021,0.031,5
191,M,0.56,0.45,0.14,0.9,0.472,0.182,0.218,7
192,I,0.47,0.37,0.12,0.4705,0.1845,0.1055,0.155,12
193,M,0.575,0.44,0.16,0.9615,0.483,0.166,0.275,13
194,M,0.55,0.435,0.16,0.906,0.342,0.219,0.295,13
195,F,0.38,0.32,0.115,0.6475,0.323,0.1325,0.164,7
196,I,0.25,0.19,0.06,0.0765,0.036,0.0115,0.0245,6
197,F,0.63,0.5,0.17,1.3135,0.5595,0.267,0.4,20
198,M,0.35,0.275,0.11,0.2925,0.1225,0.0635,0.0905,8
199,I,0.33,0.26,0.085,0.1965,0.0915,0.0425,0.055,7
200,I,0.47,0.365,0.1,0.411,0.175,0.0855,0.135,8
201,M,0.33,0.215,0.075,0.1145,0.045,0.0265,0.035,6
202,F,0.63,0.5,0.16,1.22,0.4905,0.3,0.345,14
203,M,0.35,0.255,0.065,0.179,0.0705,0.0385,0.06,10
204,M,0.375,0.305,0.09,0.3245,0.1395,0.0565,0.095,5
205,F,0.615,0.49,0.19,1.1345,0.4695,0.257,0.348,11
206,I,0.33,0.26,0.08,0.19,0.0765,0.0385,0.065,7
207,F,0.435,0.395,0.105,0.3635,0.136,0.098,0.13,9
208,M,0.36,0.295,0.13,0.2765,0.0895,0.057,0.1005,10
209,F,0.585,0.42,0.155,0.9845,0.442,0.2155,0.2875,13
210,I,0.315,0.235,0.075,0.1285,0.051,0.028,0.0405,4
211,F,0.55,0.43,0.14,0.7135,0.2565,0.186,0.225,9
212,F,0.67,0.525,0.195,1.42,0.573,0.368,0.3905,10
213,M,0.445,0.34,0.12,0.4475,0.193,0.1035,0.13,9
214,F,0.65,0.525,0.165,1.238,0.647,0.2485,0.3005,9
215,F,0.475,0.35,0.115,0.487,0.194,0.1455,0.125,13
216,F,0.58,0.45,0.15,0.92,0.393,0.212,0.2895,9
217,I,0.545,0.43,0.13,0.7595,0.358,0.153,0.2055,8
218,I,0.43,0.34,0.105,0.4405,0.2385,0.0745,0.1075,6
219,F,0.755,0.625,0.21,2.505,1.1965,0.513,0.6785,11
220,F,0.66,0.525,0.205,1.3665,0.5005,0.291,0.41,18
221,I,0.515,0.4,0.12,0.659,0.2705,0.179,0.17,13
222,I,0.33,0.255,0.08,0.205,0.0895,0.0395,0.055,7
223,I,0.52,0.38,0.135,0.5395,0.2295,0.133,0.157,8
224,I,0.365,0.255,0.08,0.1985,0.0785,0.0345,0.053,5
225,I,0.53,0.405,0.12,0.632,0.2715,0.148,0.1875,9
226,M,0.5,0.385,0.12,0.6335,0.2305,0.125,0.235,14
227,F,0.615,0.465,0.15,0.923,0.4615,0.1825,0.2415,9
228,I,0.505,0.405,0.13,0.599,0.2245,0.1175,0.225,11
229,F,0.625,0.485,0.2,1.38,0.5845,0.302,0.401,9
230,I,0.32,0.235,0.09,0.183,0.098,0.0335,0.042,7
231,M,0.62,0.47,0.15,1.309,0.587,0.4405,0.325,9
232,I,0.39,0.29,0.1,0.2845,0.1255,0.0635,0.081,7
233,M,0.65,0.5,0.155,1.202,0.565,0.3135,0.294,11
234,F,0.69,0.55,0.18,1.659,0.8715,0.2655,0.4395,9
235,M,0.635,0.5,0.165,1.273,0.6535,0.213,0.365,12
236,F,0.38,0.325,0.11,0.3105,0.12,0.074,0.105,10
237,M,0.68,0.52,0.165,1.4775,0.724,0.279,0.406,11
238,M,0.375,0.29,0.1,0.276,0.1175,0.0565,0.085,9
239,M,0.47,0.375,0.12,0.5565,0.226,0.122,0.195,12
240,F,0.56,0.46,0.18,0.97,0.342,0.196,0.355,12
241,M,0.59,0.455,0.155,0.8855,0.388,0.188,0.275,10
242,F,0.73,0.555,0.18,1.6895,0.6555,0.1965,0.4935,10
243,I,0.48,0.35,0.1,0.519,0.2365,0.1275,0.126,7
244,M,0.63,0.48,0.15,1.271,0.6605,0.2425,0.31,11
245,F,0.62,0.5,0.175,1.186,0.4985,0.3015,0.35,12
246,M,0.56,0.44,0.16,0.8645,0.3305,0.2075,0.26,10
247,I,0.47,0.37,0.11,0.5555,0.25,0.115,0.163,8
248,F,0.45,0.355,0.105,0.5225,0.237,0.1165,0.145,8
249,M,0.625,0.52,0.175,1.4105,0.691,0.322,0.3465,10
250,M,0.45,0.355,0.115,0.478,0.18,0.1185,0.155,10
251,I,0.435,0.335,0.11,0.334,0.1355,0.0775,0.0965,7
252,I,0.61,0.475,0.15,0.9665,0.4145,0.2,0.345,10
253,M,0.595,0.465,0.175,1.115,0.4015,0.254,0.39,13
254,I,0.585,0.45,0.135,0.855,0.3795,0.187,0.26,9
255,M,0.27,0.2,0.08,0.1205,0.0465,0.028,0.04,6
256,F,0.565,0.45,0.165,0.887,0.37,0.239,0.249,11
257,I,0.495,0.37,0.125,0.4775,0.185,0.0705,0.169,18
258,F,0.67,0.505,0.175,1.0145,0.4375,0.271,0.3745,10
259,I,0.54,0.395,0.135,0.6555,0.2705,0.155,0.192,9
260,M,0.54,0.455,0.14,0.972,0.419,0.255,0.269,10
261,M,0.28,0.205,0.1,0.1165,0.0545,0.0285,0.03,5
262,F,0.425,0.335,0.095,0.322,0.1205,0.061,0.125,10
263,M,0.725,0.57,0.19,2.55,1.0705,0.483,0.725,14
264,I,0.3,0.22,0.08,0.121,0.0475,0.042,0.035,5
265,F,0.585,0.45,0.16,0.9045,0.405,0.2215,0.2335,8
266,F,0.68,0.56,0.195,1.664,0.58,0.3855,0.545,11
267,M,0.685,0.55,0.19,1.885,0.89,0.41,0.4895,10
268,I,0.435,0.335,0.095,0.298,0.109,0.058,0.115,7
269,I,0.425,0.31,0.09,0.301,0.1385,0.065,0.08,7
270,F,0.49,0.37,0.14,0.585,0.243,0.115,0.195,10
271,M,0.48,0.36,0.1,0.439,0.194,0.099,0.115,8
272,F,0.57,0.45,0.175,0.9555,0.38,0.1665,0.295,18
273,I,0.52,0.405,0.14,0.6765,0.2865,0.146,0.205,15
274,F,0.58,0.46,0.15,0.9955,0.429,0.212,0.26,19
275,F,0.465,0.36,0.12,0.4765,0.192,0.1125,0.16,10
276,M,0.78,0.6,0.21,2.548,1.1945,0.5745,0.6745,11
277,I,0.55,0.425,0.15,0.806,0.376,0.171,0.245,14
278,M,0.465,0.405,0.135,0.7775,0.436,0.1715,0.1455,10
279,I,0.51,0.405,0.135,0.769,0.3655,0.1585,0.18,7
280,I,0.51,0.455,0.135,0.6855,0.2875,0.154,0.2035,9
281,F,0.625,0.475,0.16,1.3335,0.605,0.2875,0.319,10
282,M,0.515,0.395,0.12,0.646,0.285,0.1365,0.172,9
283,M,0.535,0.43,0.14,0.7165,0.2855,0.1595,0.2155,8
284,M,0.62,0.46,0.17,1.127,0.535,0.2635,0.296,7
285,I,0.315,0.23,0.09,0.1285,0.043,0.04,0.04,7
286,I,0.405,0.31,0.09,0.312,0.138,0.06,0.087,8
287,I,0.335,0.25,0.08,0.167,0.0675,0.0325,0.0575,6
288,I,0.23,0.165,0.06,0.0515,0.019,0.0145,0.036,4
289,M,0.635,0.5,0.17,1.4345,0.611,0.309,0.418,12
290,F,0.525,0.43,0.135,0.8435,0.4325,0.18,0.1815,9
291,I,0.465,0.345,0.105,0.4015,0.242,0.0345,0.109,6
292,M,0.45,0.34,0.13,0.3715,0.1605,0.0795,0.105,9
293,I,0.535,0.39,0.125,0.599,0.2595,0.149,0.169,9
294,I,0.48,0.37,0.12,0.536,0.251,0.114,0.15,8
295,M,0.49,0.38,0.14,0.7605,0.245,0.167,0.185,10
296,F,0.69,0.525,0.19,1.492,0.6425,0.3905,0.42,12
297,F,0.56,0.45,0.16,1.0235,0.429,0.268,0.3,10
298,I,0.4,0.29,0.11,0.329,0.188,0.0455,0.0825,6
299,F,0.625,0.42,0.165,1.0595,0.358,0.165,0.445,21
300,F,0.62,0.465,0.14,1.011,0.479,0.2385,0.255,8
301,F,0.515,0.395,0.14,0.686,0.281,0.1255,0.22,12
302,M,0.6,0.475,0.175,1.3445,0.549,0.2875,0.36,11
303,M,0.575,0.46,0.155,0.892,0.4415,0.176,0.22,10
304,F,0.5,0.38,0.155,0.655,0.2405,0.143,0.205,17
305,I,0.515,0.38,0.12,0.625,0.3265,0.1295,0.16,7
306,I,0.55,0.44,0.165,0.8605,0.312,0.169,0.3,17
307,I,0.425,0.345,0.125,0.425,0.16,0.0795,0.154,13
308,F,0.525,0.39,0.135,0.6005,0.2265,0.131,0.21,16
309,F,0.49,0.365,0.13,0.6835,0.165,0.1315,0.205,21
310,M,0.52,0.425,0.125,0.79,0.372,0.205,0.19,8
311,M,0.615,0.455,0.15,0.9335,0.382,0.247,0.2615,10
312,F,0.595,0.48,0.15,1.11,0.498,0.228,0.33,10
313,I,0.385,0.285,0.085,0.244,0.1215,0.0445,0.068,8
314,M,0.235,0.17,0.055,0.0515,0.018,0.0105,0.0195,7
315,M,0.42,0.34,0.125,0.4495,0.165,0.1125,0.144,11
316,M,0.72,0.565,0.145,1.187,0.691,0.1945,0.2685,8
317,F,0.7,0.54,0.215,1.978,0.6675,0.3125,0.71,24
318,I,0.35,0.265,0.095,0.199,0.073,0.049,0.06,5
319,I,0.475,0.365,0.125,0.5465,0.229,0.1185,0.172,9
320,F,0.575,0.46,0.165,1.124,0.2985,0.1785,0.44,13
321,F,0.625,0.515,0.16,1.264,0.5715,0.326,0.321,9
322,M,0.575,0.445,0.145,0.876,0.3795,0.1615,0.27,10
323,F,0.645,0.49,0.19,1.3065,0.479,0.3565,0.345,18
324,F,0.53,0.43,0.17,0.775,0.35,0.152,0.235,17
325,M,0.45,0.32,0.1,0.381,0.1705,0.075,0.115,9
326,F,0.44,0.345,0.105,0.4285,0.165,0.083,0.132,11
327,M,0.495,0.4,0.14,0.7775,0.2015,0.18,0.25,15
328,F,0.605,0.48,0.175,1.1685,0.4815,0.2305,0.356,9
329,M,0.335,0.265,0.095,0.1975,0.0795,0.0375,0.07,9
330,F,0.655,0.505,0.19,1.3485,0.5935,0.2745,0.425,12
331,F,0.545,0.41,0.115,0.6765,0.29,0.158,0.22,9
332,I,0.49,0.4,0.135,0.624,0.3035,0.1285,0.169,8
333,F,0.59,0.46,0.16,1.0115,0.445,0.2615,0.2565,8
334,M,0.555,0.45,0.175,0.874,0.3275,0.202,0.305,10
335,F,0.425,0.345,0.11,0.3665,0.125,0.081,0.117,11
336,M,0.57,0.455,0.15,0.96,0.387,0.2385,0.275,11
337,F,0.525,0.4,0.13,0.6995,0.3115,0.131,0.223,9
338,M,0.46,0.375,0.14,0.5105,0.192,0.1045,0.205,9
339,M,0.615,0.495,0.2,1.304,0.5795,0.3115,0.371,14
340,I,0.495,0.375,0.12,0.614,0.2855,0.1365,0.161,8
341,I,0.45,0.345,0.11,0.47,0.2355,0.0855,0.1135,7
342,F,0.64,0.5,0.165,1.1635,0.554,0.239,0.32,11
343,F,0.61,0.495,0.19,1.213,0.464,0.306,0.365,15
344,F,0.575,0.475,0.16,0.895,0.3605,0.221,0.271,9
345,I,0.475,0.355,0.1,0.5035,0.2535,0.091,0.14,8
346,I,0.5,0.375,0.125,0.5695,0.259,0.124,0.157,7
347,I,0.495,0.38,0.12,0.512,0.233,0.1205,0.136,7
348,I,0.53,0.395,0.13,0.575,0.247,0.115,0.183,9
349,M,0.35,0.255,0.08,0.1915,0.08,0.0385,0.063,9
350,M,0.6,0.48,0.155,1.014,0.451,0.1885,0.325,11
351,I,0.48,0.37,0.12,0.514,0.2075,0.131,0.155,13
352,I,0.255,0.19,0.06,0.086,0.04,0.0185,0.025,5
353,F,0.58,0.445,0.145,0.888,0.41,0.1815,0.2425,8
354,I,0.21,0.15,0.045,0.04,0.0135,0.008,0.0105,4
355,I,0.2,0.15,0.04,0.046,0.021,0.007,0.0065,4
356,M,0.535,0.42,0.16,0.7465,0.348,0.1515,0.2185,10
357,M,0.325,0.24,0.075,0.155,0.0475,0.0355,0.06,9
358,M,0.515,0.39,0.12,0.6125,0.302,0.1365,0.1415,8
359,I,0.495,0.385,0.125,0.5125,0.2075,0.1155,0.172,10
360,M,0.53,0.41,0.14,0.681,0.3095,0.1415,0.1835,6
361,M,0.74,0.57,0.18,1.8725,0.9115,0.427,0.446,10
362,I,0.44,0.35,0.12,0.375,0.1425,0.0965,0.115,9
363,I,0.37,0.29,0.095,0.249,0.1045,0.058,0.067,6
364,I,0.52,0.41,0.14,0.5995,0.242,0.1375,0.182,11
365,I,0.405,0.31,0.11,0.91,0.416,0.2075,0.0995,8
366,I,0.525,0.4,0.14,0.6055,0.2605,0.108,0.21,9
367,M,0.715,0.535,0.19,1.6755,0.889,0.313,0.42,10
368,M,0.43,0.345,0.115,0.3045,0.0925,0.055,0.12,11
369,M,0.675,0.52,0.145,1.3645,0.557,0.3405,0.385,11
370,M,0.47,0.36,0.105,0.544,0.27,0.1395,0.129,7
371,I,0.52,0.425,0.17,0.6805,0.28,0.174,0.195,10
372,I,0.465,0.365,0.115,0.467,0.2315,0.0925,0.113,7
373,I,0.475,0.35,0.11,0.4565,0.206,0.099,0.13,6
374,M,0.435,0.335,0.11,0.4385,0.2075,0.0715,0.1315,7
375,M,0.5,0.355,0.14,0.528,0.2125,0.149,0.14,9
376,I,0.245,0.175,0.055,0.0785,0.04,0.018,0.02,5
377,F,0.665,0.51,0.175,1.3805,0.675,0.2985,0.325,10
378,M,0.585,0.47,0.145,0.9565,0.4025,0.2365,0.265,9
379,I,0.475,0.35,0.12,0.4905,0.2035,0.13,0.135,7
380,F,0.575,0.48,0.17,1.1,0.506,0.2485,0.31,10
381,M,0.695,0.525,0.175,1.742,0.696,0.389,0.505,12
382,F,0.595,0.46,0.16,0.921,0.4005,0.2025,0.2875,9
383,F,0.625,0.49,0.175,1.1075,0.4485,0.2165,0.3595,8
384,F,0.38,0.305,0.095,0.2815,0.1255,0.0525,0.09,8
385,M,0.61,0.475,0.17,1.0265,0.435,0.2335,0.3035,10
386,I,0.455,0.34,0.115,0.486,0.261,0.0655,0.1315,8
387,I,0.435,0.33,0.11,0.413,0.2055,0.096,0.096,6
388,I,0.325,0.24,0.075,0.1525,0.072,0.0645,0.043,6
